TRADEDATE,0.25,0.5,0.75,1,2,3,5,7,10,15,20,30
2014-04-24,6.8554,7.0699,7.2775,7.4818,8.1509,8.5314,8.9468,9.1735,9.3745,9.5219,9.5859,9.6447
2014-04-25,7.253,7.3787,7.5229,7.6969,8.4245,8.9203,9.3383,9.4959,9.6864,9.8416,9.9117,9.9762
2014-04-28,7.1772,7.3331,7.501,7.7004,8.4989,9.0044,9.3989,9.5138,9.641,9.7712,9.8555,9.9521
2014-04-29,6.8139,7.0301,7.265,7.5292,8.4887,8.977,9.3431,9.4552,9.5616,9.6716,9.7406,9.8137
2014-04-30,6.8149,7.0793,7.3473,7.6292,8.556,8.9546,9.273,9.4216,9.5751,9.6902,9.7368,9.7748
2014-05-02,7.0628,7.3176,7.5683,7.8286,8.6622,9.007,9.2964,9.4516,9.6169,9.7372,9.7858,9.828
2014-05-05,7.2506,7.4557,7.6638,7.8845,8.6239,8.9709,9.2913,9.4642,9.6451,9.7819,9.8444,9.9055
2014-05-06,7.0704,7.2727,7.4918,7.7382,8.5841,8.9296,9.2015,9.3364,9.4912,9.6296,9.7003,9.7636
2014-05-07,7.226,7.4037,7.5807,7.7722,8.4316,8.7585,9.01,9.0871,9.162,9.2947,9.4087,9.5382
2014-05-08,7.3124,7.5923,7.8151,7.9789,8.3422,8.5683,8.8132,8.9647,9.1389,9.2684,9.3124,9.3311
2014-05-12,7.4062,7.6703,7.8793,8.0437,8.4279,8.6187,8.8185,8.9442,9.0763,9.1842,9.2258,9.2437
2014-05-13,7.5348,7.6391,7.7475,7.8734,8.3392,8.5868,8.7941,8.8982,9.0393,9.1596,9.2107,9.2434
2014-05-14,7.3614,7.6127,7.8181,7.9834,8.3844,8.5766,8.7811,8.9154,9.0483,9.1139,9.1214,9.1221
2014-05-15,6.9775,7.3919,7.7013,7.9256,8.3844,8.5836,8.7754,8.8904,8.9979,9.0406,9.0243,8.9832
2014-05-16,6.8864,7.3937,7.7514,7.9949,8.4467,8.647,8.8423,8.9371,8.9979,9.0112,8.992,8.9586
2014-05-19,6.8775,7.358,7.6927,7.9256,8.3797,8.5915,8.787,8.8783,8.9473,8.9802,8.974,8.948
2014-05-20,7.137,7.6106,7.8985,8.0702,8.3311,8.4967,8.7073,8.8241,8.9032,8.9207,8.8996,8.8645
2014-05-21,6.7608,7.3933,7.7798,8.0128,8.3493,8.4603,8.568,8.656,8.7757,8.8504,8.848,8.8
2014-05-22,6.8197,7.4377,7.798,8.004,8.2712,8.3955,8.5718,8.7058,8.8379,8.9011,8.8921,8.8507
2014-05-23,6.5316,7.2584,7.691,7.9406,8.2545,8.3499,8.488,8.6096,8.7334,8.7936,8.7872,8.753
2014-05-26,6.479,7.1686,7.5773,7.8177,8.1484,8.2839,8.4516,8.5651,8.6674,8.7158,8.7152,8.7002
2014-05-27,7.1595,7.7089,7.9764,8.1154,8.3133,8.4509,8.6337,8.7432,8.8328,8.8602,8.8399,8.7989
2014-05-28,6.8931,7.4144,7.7507,7.9722,8.3333,8.4396,8.5917,8.7292,8.8595,8.9132,8.8985,8.8565
2014-05-29,7.0372,7.3964,7.6556,7.8441,8.2231,8.3922,8.5213,8.6031,8.7253,8.8267,8.8541,8.8415
2014-05-30,7.1752,7.527,7.7664,7.9315,8.2226,8.3262,8.4105,8.5129,8.7003,8.8404,8.8578,8.8013
2014-06-02,6.961,7.5,7.8236,8.015,8.2743,8.3413,8.412,8.4895,8.6062,8.6851,8.6849,8.6334
2014-06-03,7.3103,7.6738,7.881,8.0106,8.2248,8.333,8.442,8.5139,8.6107,8.6963,8.7178,8.6964
